Company,Role/Title,Duration,Start,End,Description,Skills
Apple Developer Academy at BINUS,Tech Student,6 mos,Feb 2025,Present,"Tech Student at Apple Developer Academy, participating in intensive training program focused on app development, design thinking, and real-world team projects.",
Kreasof AI,Lead Software Engineer,7 mos,Jan 2025,Present,"Leading AI-driven development initiatives, managing hybrid team, and implementing scalable software solutions.",
Stockifi.io,Software Developer Team Lead,11 mos,Sep 2024,Present,"Leading global developer team, enforcing coding best practices, and coordinating cross-functional initiatives.",
Stockifi.io,React Developer,1 yr 9 mos,Jan 2023,Sep 2024,"Built and maintained enterprise-scale applications for 300+ users, developed 50+ cloud functions, and created AI and web scraping bots.","TypeScript, React.js, Firebase, Google Cloud, Vertex AI, Web Scraping, OCR, Software Development"
LSK Tata Rias Pengantin,Web Developer,3 yrs 11 mos,Sep 2021,Present,"Developed tracking systems, SEO-optimized web presence, and automation tools for examiner assignments.","JavaScript, Firebase, SEO, React.js, Web Design, WordPress"
PT Abbauf Mulia Konsultan Teknologi,Frontend Developer Lead,5 mos,Aug 2022,Dec 2022,"Led frontend team, developed WebGIS dashboard, and delivered production-grade web solutions.","React.js, Firebase, OpenLayers, Bootstrap, jQuery, REST APIs"
Braga Technologies,Frontend Developer,6 mos,Jul 2022,Dec 2022,"Delivered WebGIS projects using Mapbox and React, initiated jobseeking platform.","React.js, Redux.js, Next.js, SDLC, PWA, GIS"
Amanah Pratama,Frontend Developer,1 yr 2 mos,Oct 2021,Nov 2022,Built dashboard for AI-powered smart drone inspections and collaborated across frontend/backend.,"React.js, Next.js, Redux.js, Tailwind CSS, Firebase"
Laboratory of Material for Electronics and Telecommunication Applications,Research Assistant,1 yr 5 mos,Apr 2021,Aug 2022,Conducted materials research for solar cell applications and assisted in hardware prototyping.,"Research, Electrical Engineering"
Telkomsel,Video Brand and Communication,6 mos,Feb 2022,Jul 2022,"Executed market research, created campaign strategies and materials for Telkomsel Video & Games.","Market Research, Strategic Communications"
Akademi Dakwah Wirausaha Indonesia,Web Developer,1 yr,Mar 2020,Feb 2021,"Developed campus website, conducted historical research, and led educational webinars.","Web Design, Software Development"
Quranuna Indonesia,Web Developer,2 yrs 3 mos,Jan 2017,Mar 2019,"Built content-rich site for Quran memorization methodology, contributed articles, and educational tools.","Web Design, Software Development"
